log10(sigma),log10(H)
-0.8,-5.73
-0.7,-5.35
-0.6,-4.97
-0.5,-4.59
-0.4,-4.21
-0.3,-3.83
-0.2,-3.45
-0.1,-3.07
0,-2.69
0.1,-2.31
0.2,-1.94
0.3,-1.59
0.4,-1.33
0.5,-1.1
0.6,-0.94
0.7,-0.88
0.8,-0.91
0.9,-0.99
1,-1.09
1.1,-1.17
1.2,-1.3
1.3,-1.42
1.4,-1.55
1.5,-1.67
1.6,-1.81
1.7,-1.92
1.8,-2.06
1.9,-2.18
2,-2.3
2.1,-2.42
2.2,-2.54
2.3,-2.66
2.4,-2.78
2.5,-2.9
